Time,clock.secs,clock.nsecs
403.468,403,468000000
403.469,403,469000000
403.47,403,470000000
403.471,403,471000000
403.472,403,472000000
403.473,403,473000000
403.474,403,474000000
403.475,403,475000000
403.476,403,476000000
403.477,403,477000000
403.478,403,478000000
403.479,403,479000000
403.48,403,480000000
403.481,403,481000000
403.482,403,482000000
403.482,403,483000000
403.484,403,484000000
403.485,403,485000000
403.486,403,486000000
403.487,403,487000000
403.488,403,488000000
403.489,403,489000000
403.49,403,490000000
403.491,403,491000000
403.492,403,492000000
403.493,403,493000000
403.494,403,494000000
403.495,403,495000000
403.496,403,496000000
403.497,403,497000000
403.498,403,498000000
403.499,403,499000000
403.5,403,500000000
403.501,403,501000000
403.502,403,502000000
403.503,403,503000000
403.504,403,504000000
403.505,403,505000000
403.506,403,506000000
403.507,403,507000000
403.508,403,508000000
403.509,403,509000000
403.51,403,510000000
403.511,403,511000000
403.512,403,512000000
403.513,403,513000000
403.514,403,514000000
403.515,403,515000000
403.516,403,516000000
403.517,403,517000000
403.518,403,518000000
403.519,403,519000000
403.52,403,520000000
403.521,403,521000000
403.522,403,522000000
403.523,403,523000000
403.524,403,524000000
403.525,403,525000000
403.526,403,526000000
403.527,403,527000000
403.528,403,528000000
403.529,403,529000000
403.53,403,530000000
403.531,403,531000000
403.532,403,532000000
403.533,403,533000000
403.534,403,534000000
403.535,403,535000000
403.536,403,536000000
403.537,403,537000000
403.538,403,538000000
403.539,403,539000000
403.54,403,540000000
403.541,403,541000000
403.542,403,542000000
403.543,403,543000000
403.544,403,544000000
403.545,403,545000000
403.546,403,546000000
403.547,403,547000000
403.548,403,548000000
403.549,403,549000000
403.55,403,550000000
403.551,403,551000000
403.552,403,552000000
403.553,403,553000000
403.554,403,554000000
403.555,403,555000000
403.556,403,556000000
403.557,403,557000000
403.557,403,558000000
403.559,403,559000000
403.56,403,560000000
403.561,403,561000000
403.562,403,562000000
403.563,403,563000000
403.564,403,564000000
403.565,403,565000000
403.566,403,566000000
403.567,403,567000000
403.568,403,568000000
403.568,403,569000000
403.57,403,570000000
403.571,403,571000000
403.572,403,572000000
403.573,403,573000000
403.574,403,574000000
403.575,403,575000000
403.576,403,576000000
403.577,403,577000000
403.578,403,578000000
403.579,403,579000000
403.58,403,580000000
403.581,403,581000000
403.582,403,582000000
403.583,403,583000000
403.584,403,584000000
403.585,403,585000000
403.586,403,586000000
403.587,403,587000000
403.588,403,588000000
403.589,403,589000000
403.59,403,590000000
403.591,403,591000000
403.592,403,592000000
403.593,403,593000000
403.594,403,594000000
403.595,403,595000000
403.596,403,596000000
403.597,403,597000000
403.598,403,598000000
403.599,403,599000000
403.6,403,600000000
403.601,403,601000000
403.602,403,602000000
403.603,403,603000000
403.604,403,604000000
403.605,403,605000000
403.606,403,606000000
403.607,403,607000000
403.608,403,608000000
403.609,403,609000000
403.61,403,610000000
403.611,403,611000000
403.611,403,612000000
403.613,403,613000000
403.614,403,614000000
403.615,403,615000000
403.616,403,616000000
403.617,403,617000000
403.618,403,618000000
403.619,403,619000000
403.62,403,620000000
403.621,403,621000000
403.622,403,622000000
403.623,403,623000000
403.624,403,624000000
403.625,403,625000000
403.626,403,626000000
403.627,403,627000000
403.628,403,628000000
403.629,403,629000000
403.63,403,630000000
403.631,403,631000000
403.632,403,632000000
403.633,403,633000000
403.634,403,634000000
403.635,403,635000000
403.636,403,636000000
403.637,403,637000000
403.638,403,638000000
403.639,403,639000000
403.64,403,640000000
403.641,403,641000000
403.642,403,642000000
403.643,403,643000000
403.644,403,644000000
