Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
428.466,0.1,0.0,0.0,0.0,0.0,0.0
428.566,0.1,0.0,0.0,0.0,0.0,0.0
428.666,0.1,0.0,0.0,0.0,0.0,0.0
428.766,0.1,0.0,0.0,0.0,0.0,0.0
428.866,0.1,0.0,0.0,0.0,0.0,0.0
428.966,0.1,0.0,0.0,0.0,0.0,0.0
429.067,0.1,0.0,0.0,0.0,0.0,0.0
429.167,0.1,0.0,0.0,0.0,0.0,0.0
429.266,0.1,0.0,0.0,0.0,0.0,0.0
429.367,0.1,0.0,0.0,0.0,0.0,0.0
429.467,0.1,0.0,0.0,0.0,0.0,0.0
429.566,0.1,0.0,0.0,0.0,0.0,0.0
429.666,0.1,0.0,0.0,0.0,0.0,0.0
429.766,0.1,0.0,0.0,0.0,0.0,0.0
429.866,0.1,0.0,0.0,0.0,0.0,0.0
429.966,0.1,0.0,0.0,0.0,0.0,0.0
430.066,0.1,0.0,0.0,0.0,0.0,0.0
430.166,0.1,0.0,0.0,0.0,0.0,0.0
430.266,0.1,0.0,0.0,0.0,0.0,0.0
430.366,0.1,0.0,0.0,0.0,0.0,0.0
430.466,0.1,0.0,0.0,0.0,0.0,0.0
430.566,0.1,0.0,0.0,0.0,0.0,0.0
430.666,0.1,0.0,0.0,0.0,0.0,0.0
430.766,0.1,0.0,0.0,0.0,0.0,0.0
430.866,0.1,0.0,0.0,0.0,0.0,0.0
430.966,0.1,0.0,0.0,0.0,0.0,0.0
431.066,0.1,0.0,0.0,0.0,0.0,0.0
431.166,0.1,0.0,0.0,0.0,0.0,0.0
431.266,0.1,0.0,0.0,0.0,0.0,0.0
431.367,0.1,0.0,0.0,0.0,0.0,0.0
431.466,0.1,0.0,0.0,0.0,0.0,0.0
431.566,0.1,0.0,0.0,0.0,0.0,0.0
431.666,0.1,0.0,0.0,0.0,0.0,0.0
431.766,0.1,0.0,0.0,0.0,0.0,0.0
431.866,0.1,0.0,0.0,0.0,0.0,0.0
431.966,0.1,0.0,0.0,0.0,0.0,0.0
432.066,0.1,0.0,0.0,0.0,0.0,0.0
432.166,0.1,0.0,0.0,0.0,0.0,0.0
432.266,0.1,0.0,0.0,0.0,0.0,0.0
432.366,0.1,0.0,0.0,0.0,0.0,0.0
432.466,0.1,0.0,0.0,0.0,0.0,0.0
432.566,0.1,0.0,0.0,0.0,0.0,0.0
432.666,0.1,0.0,0.0,0.0,0.0,0.0
432.766,0.1,0.0,0.0,0.0,0.0,0.0
432.866,0.1,0.0,0.0,0.0,0.0,0.0
432.967,0.1,0.0,0.0,0.0,0.0,0.0
433.066,0.1,0.0,0.0,0.0,0.0,0.0
433.166,0.1,0.0,0.0,0.0,0.0,0.0
433.266,0.1,0.0,0.0,0.0,0.0,0.0
433.366,0.1,0.0,0.0,0.0,0.0,0.0
433.467,0.1,0.0,0.0,0.0,0.0,0.0
433.566,0.1,0.0,0.0,0.0,0.0,0.0
433.667,0.1,0.0,0.0,0.0,0.0,0.0
433.766,0.1,0.0,0.0,0.0,0.0,0.0
433.866,0.1,0.0,0.0,0.0,0.0,0.0
433.966,0.1,0.0,0.0,0.0,0.0,0.0
434.066,0.1,0.0,0.0,0.0,0.0,0.0
434.166,0.1,0.0,0.0,0.0,0.0,0.0
434.266,0.1,0.0,0.0,0.0,0.0,0.0
434.366,0.1,0.0,0.0,0.0,0.0,0.0
434.466,0.1,0.0,0.0,0.0,0.0,0.0
434.566,0.1,0.0,0.0,0.0,0.0,0.0
434.666,0.1,0.0,0.0,0.0,0.0,0.0
434.766,0.1,0.0,0.0,0.0,0.0,0.0
434.867,0.1,0.0,0.0,0.0,0.0,0.0
434.967,0.1,0.0,0.0,0.0,0.0,0.0
435.066,0.1,0.0,0.0,0.0,0.0,0.0
435.167,0.1,0.0,0.0,0.0,0.0,0.0
435.266,0.1,0.0,0.0,0.0,0.0,0.0
435.366,0.1,0.0,0.0,0.0,0.0,0.0
435.466,0.1,0.0,0.0,0.0,0.0,0.0
435.566,0.1,0.0,0.0,0.0,0.0,0.0
435.666,0.1,0.0,0.0,0.0,0.0,0.0
435.766,0.1,0.0,0.0,0.0,0.0,0.0
435.866,0.1,0.0,0.0,0.0,0.0,0.0
435.966,0.1,0.0,0.0,0.0,0.0,0.0
436.066,0.1,0.0,0.0,0.0,0.0,0.0
436.166,0.1,0.0,0.0,0.0,0.0,0.0
436.267,0.1,0.0,0.0,0.0,0.0,0.0
436.366,0.1,0.0,0.0,0.0,0.0,0.0
436.466,0.1,0.0,0.0,0.0,0.0,0.0
